status,ticket_id,priority,channel,topic,agent_group,agent_name,created_time,first_response_time,resolution_time,survey_results,product_group,support_level,country,creation_hours,first_response_hours,response_hours,SLA_status
Closed,1012,Low,Email,Feature request,1st line support,Kristos Westoll,2023-01-02 00:58:36,2023-01-02 01:03:17,2023-01-04 00:31:52,3,Custom software development,Tier 1,Republic of Ireland,0.98,1.05,0.08,Compliant
In progress,1013,High,Phone,Product setup,2nd line support,Adolpho Messingham,2023-01-02 07:27:25,2023-01-02 07:27:43,,,Other,Tier 2,Italy,7.46,7.46,0.00,Compliant
Resolved,1014,Low,Chat,Purchasing and invoicing,1st line support,Bernard Beckley,2023-01-02 06:59:04,2023-01-02 06:59:57,2023-01-02 22:45:33,,Custom software development,Tier 1,Austria,6.98,7.00,0.01,Compliant
Closed,1015,Medium,Email,Pricing and licensing,1st line support,Connor Danielovitch,2023-01-03 03:09:39,2023-01-03 07:09:16,2023-01-04 14:32:35,4,Ready to use Software,Tier 1,Spain,3.16,7.15,3.99,Compliant
Closed,1016,Low,Email,Product setup,1st line support,Kristos Westoll,2023-01-03 00:03:58,2023-01-03 00:08:02,2023-01-04 12:03:06,2,Other,Tier 1,Austria,0.07,0.13,0.07,Compliant
Closed,1017,Low,Email,Purchasing and invoicing,1st line support,Sheela Cutten,2023-01-03 14:25:42,2023-01-03 14:45:14,2023-01-04 01:55:57,2,Ready to use Software,Tier 1,Greece,14.43,14.75,0.33,Compliant
Closed,1018,Low,Phone,Product setup,1st line support,Kristos Westoll,2023-01-03 15:32:02,2023-01-03 15:34:00,2023-01-05 03:51:37,3,Ready to use Software,Tier 1,Republic of Ireland,15.53,15.57,0.03,Compliant
Resolved,1019,Medium,Chat,Pricing and licensing,2nd line support,Michele Whyatt,2023-01-03 00:38:48,2023-01-03 00:39:30,2023-01-05 12:47:56,,Training and Consulting Services,Tier 2,Poland,0.65,0.66,0.01,Compliant
Resolved,1020,Medium,Chat,Product setup,1st line support,Kristos Westoll,2023-01-03 09:37:54,2023-01-03 09:41:55,2023-01-03 20:31:38,,Other,Tier 1,Germany,9.63,9.70,0.07,Compliant
Closed,1021,Low,Email,Product setup,1st line support,Bernard Beckley,2023-01-03 09:27:35,2023-01-03 10:24:48,2023-01-04 10:16:32,4,Training and Consulting Services,Tier 1,Czech Republic,9.46,10.41,0.95,Compliant
Closed,1024,Medium,Chat,Other,1st line support,Bernard Beckley,2023-01-03 16:41:11,2023-01-03 16:43:41,2023-01-03 23:52:18,5,Custom software development,Tier 1,Czech Republic,16.69,16.73,0.04,Compliant
Closed,1025,Low,Chat,Bug report,1st line support,Sheela Cutten,2023-01-03 04:50:04,2023-01-03 04:50:05,2023-01-07 13:17:12,3,Custom software development,Tier 1,Poland,4.83,4.83,0.00,Compliant
Closed,1026,Low,Chat,Bug report,1st line support,Nicola Wane,2023-01-04 10:49:27,2023-01-04 10:50:42,2023-01-04 23:37:37,4,Ready to use Software,Tier 1,Bulgaria,10.82,10.85,0.02,Compliant
Resolved,1027,Low,Chat,Training request,1st line support,Bernard Beckley,2023-01-04 07:27:56,2023-01-04 07:28:52,2023-01-05 04:41:41,,Training and Consulting Services,Tier 1,United Kingdom,7.47,7.48,0.02,Compliant
Resolved,1028,Low,Chat,Bug report,1st line support,Kristos Westoll,2023-01-04 21:46:12,2023-01-04 21:46:51,2023-01-05 13:28:20,,Ready to use Software,Tier 1,Bulgaria,21.77,21.78,0.01,Compliant
Closed,1029,Medium,Chat,Feature request,1st line support,Bernard Beckley,2023-01-04 09:12:41,2023-01-04 09:13:35,2023-01-05 07:45:18,5,Custom software development,Tier 1,Germany,9.21,9.23,0.02,Compliant
Closed,1030,Medium,Chat,Feature request,1st line support,Connor Danielovitch,2023-01-04 19:36:58,2023-01-04 19:37:56,2023-01-05 02:24:20,4,Ready to use Software,Tier 1,Germany,19.62,19.63,0.02,Compliant
In progress,1031,Low,Email,Feature request,1st line support,Kristos Westoll,2023-01-04 18:08:24,2023-01-04 18:13:04,,,Ready to use Software,Tier 1,United Kingdom,18.14,18.22,0.08,Compliant
Resolved,1032,Low,Email,Product setup,2nd line support,Heather Urry,2023-01-04 12:47:17,2023-01-04 13:20:44,2023-01-05 07:54:03,,Other,Tier 2,Germany,12.79,13.35,0.56,Compliant
In progress,1034,Low,Chat,Other,1st line support,Connor Danielovitch,2023-01-04 19:06:20,2023-01-04 19:07:35,,,Training and Consulting Services,Tier 1,Germany,19.11,19.13,0.02,Compliant
In progress,1035,High,Email,Training request,1st line support,Connor Danielovitch,2023-01-04 05:27:57,2023-01-04 06:07:00,,,Training and Consulting Services,Tier 1,Germany,5.47,6.12,0.65,Compliant
Resolved,1037,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-05 12:10:27,2023-01-05 12:34:20,2023-01-07 11:23:15,,Custom software development,Tier 1,Poland,12.17,12.57,0.40,Compliant
Closed,1038,High,Chat,Other,1st line support,Bernard Beckley,2023-01-05 04:18:55,2023-01-05 04:19:42,2023-01-05 19:22:17,3,Other,Tier 1,Italy,4.32,4.33,0.01,Compliant
Resolved,1039,Medium,Chat,Purchasing and invoicing,2nd line support,Adolpho Messingham,2023-01-05 05:16:19,2023-01-05 05:18:01,2023-01-05 07:37:11,,Custom software development,Tier 2,Poland,5.27,5.30,0.03,Compliant
In progress,1040,High,Chat,Bug report,2nd line support,Heather Urry,2023-01-05 14:30:37,2023-01-05 14:31:02,,,Ready to use Software,Tier 2,Poland,14.51,14.52,0.01,Compliant
Closed,1041,Low,Chat,Product setup,1st line support,Bernard Beckley,2023-01-05 02:59:54,2023-01-05 03:04:27,2023-01-05 21:50:51,2,Ready to use Software,Tier 1,Germany,3.00,3.07,0.08,Compliant
Closed,1043,High,Email,Pricing and licensing,1st line support,Connor Danielovitch,2023-01-05 03:31:45,2023-01-05 04:02:05,2023-01-06 17:14:14,5,Custom software development,Tier 1,Italy,3.53,4.03,0.51,Compliant
Closed,1044,Low,Chat,Product setup,1st line support,Kristos Westoll,2023-01-06 20:45:42,2023-01-06 20:47:41,2023-01-07 00:07:33,2,Custom software development,Tier 1,Italy,20.76,20.79,0.03,Compliant
Resolved,1045,Medium,Email,Bug report,1st line support,Kristos Westoll,2023-01-06 20:14:59,2023-01-06 20:58:30,2023-01-08 07:15:33,,Ready to use Software,Tier 1,Slovenia,20.25,20.98,0.73,Compliant
Resolved,1046,High,Email,Bug report,1st line support,Sheela Cutten,2023-01-06 15:11:41,2023-01-06 15:35:55,2023-01-07 06:22:47,,Custom software development,Tier 1,Poland,15.19,15.60,0.40,Compliant
In progress,1047,Low,Email,Pricing and licensing,1st line support,Bernard Beckley,2023-01-06 03:15:21,2023-01-06 04:07:58,,,Training and Consulting Services,Tier 1,Greece,3.26,4.13,0.88,Compliant
In progress,1048,Low,Chat,Pricing and licensing,1st line support,Bernard Beckley,2023-01-06 23:55:57,2023-01-06 23:56:15,,,Ready to use Software,Tier 1,Greece,23.93,23.94,0.00,Compliant
Closed,1049,Medium,Chat,Pricing and licensing,1st line support,Sheela Cutten,2023-01-06 12:05:00,2023-01-06 12:06:37,2023-01-11 05:34:05,4,Custom software development,Tier 1,Poland,12.08,12.11,0.03,Compliant
Closed,1050,Low,Email,Product setup,1st line support,Nicola Wane,2023-01-07 01:13:52,2023-01-07 01:33:11,2023-01-12 02:26:02,4,Training and Consulting Services,Tier 1,Spain,1.23,1.55,0.32,Compliant
Closed,1054,High,Email,Purchasing and invoicing,2nd line support,Michele Whyatt,2023-01-07 05:28:54,2023-01-07 06:09:50,2023-01-08 08:30:23,5,Custom software development,Tier 2,Italy,5.48,6.16,0.68,Compliant
Closed,1055,High,Email,Bug report,1st line support,Connor Danielovitch,2023-01-07 18:09:17,2023-01-07 19:04:58,2023-01-09 13:07:23,4,Ready to use Software,Tier 1,Republic of Ireland,18.15,19.08,0.93,Compliant
Resolved,1056,Low,Email,Bug report,1st line support,Kristos Westoll,2023-01-07 00:13:20,2023-01-07 00:19:14,2023-01-08 13:56:20,,Custom software development,Tier 1,Germany,0.22,0.32,0.10,Compliant
Closed,1057,Medium,Email,Feature request,1st line support,Bernard Beckley,2023-01-07 09:55:14,2023-01-07 10:35:51,2023-01-09 01:35:54,5,Ready to use Software,Tier 1,Germany,9.92,10.60,0.68,Compliant
In progress,1058,Medium,Email,Pricing and licensing,1st line support,Bernard Beckley,2023-01-08 13:39:52,2023-01-08 14:36:27,,,Ready to use Software,Tier 1,France,13.66,14.61,0.94,Compliant
In progress,1062,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,2023-01-08 19:35:27,2023-01-08 19:36:35,,,Custom software development,Tier 1,Republic of Ireland,19.59,19.61,0.02,Compliant
Closed,1063,Low,Phone,Feature request,1st line support,Kristos Westoll,2023-01-08 04:56:45,2023-01-08 05:01:41,2023-01-08 08:51:45,1,Ready to use Software,Tier 1,United Kingdom,4.95,5.03,0.08,Compliant
Closed,1064,High,Chat,Other,1st line support,Connor Danielovitch,2023-01-08 10:58:22,2023-01-08 10:59:36,2023-01-08 17:42:49,5,Ready to use Software,Tier 1,United Kingdom,10.97,10.99,0.02,Compliant
Closed,1065,Medium,Chat,Product setup,1st line support,Sheela Cutten,2023-01-08 01:00:01,2023-01-08 01:01:25,2023-01-08 04:07:24,3,Ready to use Software,Tier 1,United Kingdom,1.00,1.02,0.02,Compliant
Resolved,1066,Medium,Chat,Product setup,1st line support,Sheela Cutten,2023-01-09 14:16:59,2023-01-09 14:17:22,2023-01-10 06:21:29,,Ready to use Software,Tier 1,Spain,14.28,14.29,0.01,Compliant
Resolved,1067,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-09 15:09:10,2023-01-09 15:37:19,2023-01-11 01:02:32,,Custom software development,Tier 1,Germany,15.15,15.62,0.47,Compliant
Closed,1068,Low,Email,Product setup,1st line support,Kristos Westoll,2023-01-09 14:10:12,2023-01-09 14:48:04,2023-01-10 19:32:17,1,Ready to use Software,Tier 1,Greece,14.17,14.80,0.63,Compliant
Closed,1069,Medium,Email,Pricing and licensing,2nd line support,Heather Urry,2023-01-09 17:25:30,2023-01-09 17:57:42,2023-01-10 12:39:06,5,Custom software development,Tier 2,Poland,17.43,17.96,0.54,Compliant
Resolved,1070,High,Email,Pricing and licensing,2nd line support,Adolpho Messingham,2023-01-09 18:55:21,2023-01-09 19:32:12,2023-01-15 17:10:06,,Custom software development,Tier 2,Germany,18.92,19.54,0.61,Compliant
Closed,1071,Medium,Email,Training request,2nd line support,Michele Whyatt,2023-01-09 11:56:11,2023-01-09 12:16:08,2023-01-10 16:04:07,4,Training and Consulting Services,Tier 2,Republic of Ireland,11.94,12.27,0.33,Compliant
Closed,1072,High,Email,Feature request,1st line support,Sheela Cutten,2023-01-09 20:14:31,2023-01-09 20:29:39,2023-01-09 20:44:54,5,Custom software development,Tier 1,Germany,20.24,20.49,0.25,Compliant
Closed,1073,Medium,Email,Pricing and licensing,1st line support,Kristos Westoll,2023-01-09 09:10:39,2023-01-09 09:17:01,2023-01-09 21:58:19,3,Ready to use Software,Tier 1,Greece,9.18,9.28,0.11,Compliant
Closed,1074,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,2023-01-09 06:50:00,2023-01-09 06:54:54,2023-01-09 22:42:50,4,Ready to use Software,Tier 1,Slovenia,6.83,6.92,0.08,Compliant
Closed,1075,High,Email,Product setup,1st line support,Kristos Westoll,2023-01-09 21:50:02,2023-01-10 00:25:12,2023-01-11 09:54:58,2,Ready to use Software,Tier 1,Czech Republic,21.83,0.42,21.41,Breached
Closed,1076,Low,Phone,Product setup,1st line support,Bernard Beckley,2023-01-09 02:55:23,2023-01-09 02:55:32,2023-01-10 22:20:44,5,Ready to use Software,Tier 1,Germany,2.92,2.93,0.00,Compliant
Resolved,1077,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-01-10 02:10:01,2023-01-10 02:35:28,2023-01-11 21:39:27,,Ready to use Software,Tier 1,Bulgaria,2.17,2.59,0.42,Compliant
Closed,1078,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-01-10 13:46:53,2023-01-10 13:50:12,2023-01-12 06:52:28,2,Ready to use Software,Tier 1,Germany,13.78,13.84,0.06,Compliant
